,Angle,Intensity,class,pos,sample,search
241,71.85843,138.03762,Ag2Se,11859,9,max
242,73.91843,0.00748,Ag2Se,12271,9,min
243,76.41343,209.25286,Ag2Se,12770,9,max
244,81.49343,0.0011300000000000001,Ag2Se,13786,9,min
245,89.69343,146.14068,Ag2Se,15426,9,max
246,95.94343,0.00091,Ag2Se,16676,9,min
247,102.95343000000001,117.88354,Ag2Se,18078,9,max
248,105.38843,0.00808,Ag2Se,18565,9,min
249,107.49843,57.7296,Ag2Se,18987,9,max
250,109.59343,0.00772,Ag2Se,19406,9,min
251,112.15843000000001,86.35004,Ag2Se,19919,9,max
252,117.54343,0.0006900000000000001,Ag2Se,20996,9,min
253,127.35343,37.02404,Ag2Se,22958,9,max
254,137.13843,0.00045999999999999996,Ag2Se,24915,9,min
255,146.74843,33.12249,Ag2Se,26837,9,max
256,156.72843,0.00042,Ag2Se,28833,9,min
257,12.56343,0.0,Ag2Se,0,10,min
258,27.718429999999998,1000.0,Ag2Se,3031,10,max
259,30.17343,0.01122,Ag2Se,3522,10,min
260,32.11343,414.69425,Ag2Se,3910,10,max
261,37.61343,0.00139,Ag2Se,5010,10,min
262,46.05343,481.39777000000004,Ag2Se,6698,10,max
263,50.04343,0.00349,Ag2Se,7496,10,min
264,54.608430000000006,509.80672000000004,Ag2Se,8409,10,max
265,56.22343000000001,0.0224,Ag2Se,8732,10,min
266,57.25343,125.18441000000001,Ag2Se,8938,10,max
267,63.80843,0.00147,Ag2Se,10249,10,min
268,67.17343000000001,85.92605999999999,Ag2Se,10922,10,max
269,69.92343000000001,0.00275,Ag2Se,11472,10,min
270,74.14843,216.93187999999998,Ag2Se,12317,10,max
271,75.32343,0.03207,Ag2Se,12552,10,min
272,76.41343,161.74075,Ag2Se,12770,10,max
273,79.73343,0.00315,Ag2Se,13434,10,min
274,85.30343,172.91137,Ag2Se,14548,10,max
275,88.13343,0.00476,Ag2Se,15114,10,min
276,91.88343,152.42166,Ag2Se,15864,10,max
277,96.61343000000001,0.00139,Ag2Se,16810,10,min
278,102.95343000000001,49.94979,Ag2Se,18078,10,max
279,105.54343,0.00404,Ag2Se,18596,10,min
280,109.81343000000001,138.32374,Ag2Se,19450,10,max
281,111.09843000000001,0.03984,Ag2Se,19707,10,min
282,112.15843000000001,66.77857,Ag2Se,19919,10,max
283,118.57343,0.00302,Ag2Se,21202,10,min
284,122.01843000000001,62.97792,Ag2Se,21891,10,max
285,125.61343000000001,0.0035700000000000003,Ag2Se,22610,10,min
286,130.16343,44.57013,Ag2Se,23520,10,max
287,131.65843,0.02203,Ag2Se,23819,10,min
288,133.09843,34.87787,Ag2Se,24107,10,max
289,155.88843,0.0,Ag2Se,28665,10,min
290,17.4995,0.0,Ag2Se,0,11,min
291,31.8545,1000.0,Ag2Se,2871,11,max
292,38.7395,0.0017399999999999998,Ag2Se,4248,11,min
293,45.6695,714.04222,Ag2Se,5634,11,max
294,51.6745,0.0019399999999999999,Ag2Se,6835,11,min
295,56.7545,296.92434,Ag2Se,7851,11,max
296,62.0295,0.0013,Ag2Se,8906,11,min
297,66.5695,125.91592,Ag2Se,9814,11,max
298,70.0795,0.00225,Ag2Se,10516,11,min
299,75.6995,383.93357000000003,Ag2Se,11640,11,max
300,80.1245,0.00396,Ag2Se,12525,11,min
301,84.4645,249.14525,Ag2Se,13393,11,max
302,93.6145,0.0004,Ag2Se,15223,11,min
303,101.8145,72.59396,Ag2Se,16863,11,max
304,105.4095,0.0027199999999999998,Ag2Se,17582,11,min
