2q (degree),Normalized Intensity (a.u)
15.9854,0.11441
15.9904,0.12251
15.9954,0.11608
16.0004,0.10316
16.0054,0.11465
16.0104,0.11322
16.0154,0.11473
16.0204,0.12246
16.0254,0.11114
16.0304,0.10712
16.0354,0.12326
16.0404,0.11767
16.0454,0.11706
16.0504,0.11748
16.0554,0.10849
16.0604,0.11781
16.0654,0.12442
16.0704,0.11706
16.0754,0.11896
16.0804,0.1151
16.0854,0.10738
16.0904,0.11356
16.0954,0.11338
16.1004,0.11632
16.1054,0.10533
16.1104,0.11055
16.1154,0.11286
16.1204,0.11118
16.1254,0.11815
16.1304,0.1145
16.1354,0.11367
16.1404,0.11646
16.1454,0.11208
16.1504,0.11654
16.1554,0.11559
16.1604,0.10704
16.1654,0.12157
16.1704,0.11771
16.1754,0.11385
16.1804,0.10283
16.1854,0.10939
16.1904,0.11622
16.1954,0.11991
16.2004,0.11368
16.2054,0.11273
16.2104,0.11287
16.2154,0.11351
16.2204,0.11684
16.2254,0.11556
16.2304,0.11116
16.2354,0.10466
16.2404,0.11489
16.2454,0.11179
16.2504,0.10811
16.2554,0.1168
16.2604,0.11535
16.2654,0.11469
16.2704,0.11375
16.2754,0.11029
16.2804,0.10875
16.2854,0.10999
16.2904,0.12047
16.2954,0.11822
16.3004,0.11288
16.3054,0.11004
16.3104,0.12523
16.3154,0.11408
16.3204,0.11021
16.3254,0.1118
16.3304,0.11233
16.3354,0.11843
16.3404,0.11741
16.3454,0.11337
16.3504,0.11236
16.3554,0.11226
16.3604,0.10787
16.3654,0.10928
16.3704,0.11055
16.3754,0.11923
16.3804,0.10922
16.3854,0.10763
16.3904,0.11654
16.3954,0.10759
16.4004,0.10615
16.4054,0.11201
16.4104,0.11607
16.4154,0.10701
16.4204,0.11154
16.4254,0.1148
16.4304,0.11411
16.4354,0.11497
16.4404,0.11512
16.4454,0.11745
16.4504,0.10926
16.4554,0.11717
16.4604,0.11331
16.4654,0.11832
16.4704,0.1191
16.4754,0.11698
16.4804,0.10689
16.4854,0.11642
16.4904,0.11434
16.4954,0.11141
16.5004,0.11039
16.5054,0.11461
16.5104,0.1142
16.5154,0.11893
16.5204,0.11384
16.5254,0.11054
16.5304,0.1095
16.5354,0.11823
16.5404,0.12953
16.5454,0.11928
16.5504,0.11018
16.5554,0.10993
16.5604,0.11154
16.5654,0.1165
16.5704,0.11993
16.5754,0.11294
16.5804,0.10838
16.5854,0.112
16.5904,0.12324
16.5954,0.11705
16.6004,0.1165
16.6054,0.11637
16.6104,0.10528
16.6154,0.11239
16.6204,0.11763
16.6254,0.10997
16.6304,0.10516
16.6354,0.11595
16.6404,0.11023
16.6454,0.11122
16.6504,0.11175
16.6554,0.10979
16.6604,0.11241
16.6654,0.1126
16.6704,0.11892
16.6754,0.11571
16.6804,0.11549
16.6854,0.11043
16.6904,0.1097
16.6954,0.10996
16.7004,0.10532
16.7054,0.11269
16.7104,0.11342
16.7154,0.11633
16.7204,0.11298
16.7254,0.11442
16.7304,0.11261
16.7354,0.11504
16.7404,0.11099
16.7454,0.11154
16.7504,0.11553
16.7554,0.10709
16.7604,0.11785
16.7654,0.11729
16.7704,0.11886
16.7754,0.11051
16.7804,0.11256
16.7854,0.10407
16.7904,0.11587
16.7954,0.112
16.8004,0.1052
16.8054,0.11108
16.8104,0.11253
16.8154,0.12234
16.8204,0.11611
16.8254,0.10939
16.8304,0.10559
16.8354,0.1146
16.8404,0.11826
16.8454,0.11116
16.8504,0.11008
16.8554,0.10959
16.8604,0.106
16.8654,0.11732
16.8704,0.11528
16.8754,0.11778
16.8804,0.11506
16.8854,0.10678
16.8904,0.1151
16.8954,0.11361
16.9004,0.11347
16.9054,0.11497
16.9104,0.11796
16.9154,0.11982
16.9204,0.10815
16.9254,0.11022
16.9304,0.11411
16.9354,0.11137
16.9404,0.10809
16.9454,0.11551
16.9504,0.12037
16.9554,0.11253
16.9604,0.11474
16.9654,0.11117
16.9704,0.10916
16.9754,0.11877
16.9804,0.11085
16.9854,0.11382
16.9904,0.12297
16.9954,0.11148
17.0004,0.12092
17.0054,0.11841
17.0104,0.11916
17.0154,0.11832
17.0204,0.11363
17.0254,0.10628
17.0304,0.11017
17.0354,0.11936
17.0404,0.11488
17.0454,0.11487
17.0504,0.1192
17.0554,0.11362
17.0604,0.10687
17.0654,0.11568
17.0704,0.11437
17.0754,0.11415
17.0804,0.11624
17.0854,0.11073
17.0904,0.11489
17.0954,0.11652
17.1004,0.10779
17.1054,0.10952
17.1104,0.1121
17.1154,0.11515
17.1204,0.11389
17.1254,0.1104
17.1304,0.11525
17.1354,0.11819
17.1404,0.10795
17.1454,0.10598
17.1504,0.11534
17.1554,0.11796
17.1604,0.11619
17.1654,0.11135
17.1704,0.11001
17.1754,0.11469
17.1804,0.1077
17.1854,0.1089
17.1904,0.12059
17.1954,0.11426
17.2004,0.10897
17.2054,0.11959
17.2104,0.11357
17.2154,0.11305
17.2204,0.11863
17.2254,0.11191
17.2304,0.11374
17.2354,0.11746
17.2404,0.11649
17.2454,0.11124
17.2504,0.11453
17.2554,0.11667
17.2604,0.11144
17.2654,0.11777
17.2704,0.12109
17.2754,0.11752
17.2804,0.11259
17.2854,0.11007
17.2904,0.11509
17.2954,0.11784
17.3004,0.11817
17.3054,0.12703
17.3104,0.11984
17.3154,0.11323
17.3204,0.12203
17.3254,0.11728
17.3304,0.11231
17.3354,0.10936
17.3404,0.10196
17.3454,0.1077
17.3504,0.11178
17.3554,0.11207
17.3604,0.11343
17.3654,0.11976
17.3704,0.12024
17.3754,0.12237
17.3804,0.10732
17.3854,0.11356
17.3904,0.12225
17.3954,0.11731
17.4004,0.11822
17.4054,0.12388
17.4104,0.11799
17.4154,0.11704
17.4204,0.12124
17.4254,0.11173
17.4304,0.11767
17.4354,0.11856
17.4404,0.12232
17.4454,0.11756
17.4504,0.11848
17.4554,0.11716
17.4604,0.11485
17.4654,0.11141
17.4704,0.10651
17.4754,0.11218
17.4804,0.11636
17.4854,0.11402
17.4904,0.11977
17.4954,0.11906
17.5004,0.10878
17.5054,0.11386
17.5104,0.11891
17.5154,0.12145
17.5204,0.12376
17.5254,0.11325
17.5304,0.11114
17.5354,0.11609
17.5404,0.11583
17.5454,0.11395
17.5504,0.11248
17.5554,0.11525
17.5604,0.11281
17.5654,0.11897
17.5704,0.12234
17.5754,0.11522
17.5804,0.11257
17.5854,0.11362
17.5904,0.119
17.5954,0.11445
17.6004,0.11543
17.6054,0.12211
17.6104,0.11901
17.6154,0.11936
17.6204,0.11773
17.6254,0.11716
17.6304,0.11661
17.6354,0.12037
17.6404,0.11896
17.6454,0.10691
17.6504,0.10513
17.6554,0.11003
17.6604,0.12234
17.6654,0.11231
17.6704,0.10892
17.6754,0.11591
17.6804,0.11226
17.6854,0.11022
17.6904,0.11082
17.6954,0.11846
17.7004,0.10823
17.7054,0.11503
17.7104,0.11486
17.7154,0.11028
17.7204,0.12283
17.7254,0.11671
17.7304,0.11052
17.7354,0.11458
17.7404,0.10973
17.7454,0.11316
17.7504,0.10826
17.7554,0.10981
17.7604,0.11059
17.7654,0.11312
17.7704,0.12128
17.7754,0.11248
17.7804,0.10884
17.7854,0.10725
17.7904,0.12106
17.7954,0.11265
17.8004,0.11271
17.8054,0.12285
17.8104,0.11964
17.8154,0.12395
17.8204,0.11244
17.8254,0.1118
17.8304,0.11608
17.8354,0.11703
17.8404,0.12156
17.8454,0.114
17.8504,0.11444
17.8554,0.11505
17.8604,0.11278
17.8654,0.1202
17.8704,0.11781
17.8754,0.11538
17.8804,0.10695
17.8854,0.10981
17.8904,0.1144
17.8954,0.10993
17.9004,0.11497
17.9054,0.11778
17.9104,0.11135
17.9154,0.11827
17.9204,0.11932
17.9254,0.1136
17.9304,0.11518
17.9354,0.11101
17.9404,0.11958
17.9454,0.11924
17.9504,0.11574
17.9554,0.11085
17.9604,0.11618
17.9654,0.1243
17.9704,0.11443
17.9754,0.11303
17.9804,0.11137
17.9854,0.10537
17.9904,0.1105
17.9954,0.11515
18.0004,0.11185
18.0054,0.10756
18.0104,0.11284
18.0154,0.1161
18.0204,0.11098
18.0254,0.10975
18.0304,0.1139
18.0354,0.11223
18.0404,0.11183
18.0454,0.10965
18.0504,0.1026
18.0554,0.10737
18.0604,0.11722
18.0654,0.11933
18.0704,0.12007
18.0754,0.12356
18.0804,0.10975
18.0854,0.11208
18.0904,0.1124
18.0954,0.10984
18.1004,0.11077
18.1054,0.10744
18.1104,0.11364
18.1154,0.11373
18.1204,0.11566
18.1254,0.11235
18.1304,0.10826
18.1354,0.11118
18.1404,0.11737
18.1454,0.11419
18.1504,0.10892
18.1554,0.11005
18.1604,0.11578
18.1654,0.11836
18.1704,0.11076
18.1754,0.11364
18.1804,0.10729
18.1854,0.11692
18.1904,0.1228
18.1954,0.11495
18.2004,0.1096
18.2054,0.11713
18.2104,0.12187
18.2154,0.11966
18.2204,0.11398
18.2254,0.12067
18.2304,0.10904
18.2354,0.11292
18.2404,0.12071
